round,kernel,run_id,iter,status,cycles,baseline_cycles,roofline_cycles,ratio_to_roofline,is_new_best,cost_usd,hypothesis_summary
smoke,llama-softmax,20260906-193727-ebbf,0,ok,21906,21906,1472,14.88179347826087,True,0.0,
smoke,llama-softmax,20260906-193727-ebbf,1,ok,15026,21906,1472,10.20788043478261,True,0.430058,"HYPOTHESIS: At LMUL=1 every vector op is a 2-beat chime but the FMA pipe is 4 stages deep, so the ~40-op fully dependent exp chain per strip stalls on every op; measured ≈ 342 cycles per 8-element..."
smoke,llama-softmax,20260906-193727-ebbf,2,ok,4312,21906,1472,2.9293478260869565,True,0.219356,"Assembles cleanly with the `vfdiv` gone (one `vfmul.vf` in pass 3, scalar `fdiv` once); the LMUL=4 best kernel is otherwise untouched."
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,0,ok,150339,150339,131072,1.1469955444335938,True,0.0,
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,1,ok,132653,150339,131072,1.0120620727539062,True,2.0505,"I'll start by loading the remote tool and reading the relevant parts of `gemmini.h`.The kernel compiles cleanly with the harness flags (12 RoCC custom instructions emitted, no errors). Tile..."
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,2,build_failed,,150339,131072,,False,1.786893,"**Last turn's miss:** I predicted 115–125k and got 132,653. That number is telling: 1 MiB / 8 B per cycle = 131,072, and we landed 1.2% above it. The L2-residency trick and the sequential sweep..."
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,3,ok,134585,150339,131072,1.0268020629882812,False,0.847669,"The harness's real compile line evidently lacks `v` in `-march` (the header's `#error` fires), so I can't use C intrinsics. I'll emit the vector code as inline asm with `.option arch, +v`, and check..."
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,4,ok,133800,150339,131072,1.02081298828125,False,0.506703,"**Last turn's miss:** predicted 116–118k, measured 134.6k (+1.9k vs v1) even though Gemmini moved only 7/8 of B. The self-check passed, so the CPU slice computed correctly — it was just slow. Two..."
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,5,ok,132653,150339,131072,1.0120620727539062,False,0.745304,"**Last turn's miss:** predicted ~124.5k under model (a), got 133.8k — model (a) is refuted. The CPU slice cannot have been the critical path this time (v3 bounded the vector path at ≤526 cycles/row,..."
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,6,ok,149757,150339,131072,1.1425552368164062,False,0.355237,"**Last turn's EXPECTED held** (v1 re-measured at exactly 132,653 — the machine is deterministic, so any change ≥ ~100 cycles is real signal, not noise).

Since another edit is requested, I'll use it..."
